"Bydele Navn","Roder","År","Måned","Antal borgere"
"Amager Vest","0346","2015","August","19"
"Amager Vest","0346","2015","September","19"
"Amager Vest","0346","2015","Oktober","21"
"Amager Vest","0346","2015","November","24"
"Amager Vest","0346","2015","December","21"
"Amager Vest","0346","2016","Januar","21"
"Amager Vest","0346","2016","Februar","20"
"Amager Vest","0346","2016","Marts","21"
"Amager Vest","0347","2015","Januar","33"
"Amager Vest","0347","2015","Februar","38"
"Amager Vest","0347","2015","Marts","39"
"Amager Vest","0347","2015","April","41"
"Amager Vest","0347","2015","Maj","41"
"Amager Vest","0347","2015","Juni","42"
"Amager Vest","0347","2015","Juli","37"
"Amager Vest","0347","2015","August","36"
"Amager Vest","0347","2015","September","36"
"Amager Vest","0347","2015","Oktober","35"
"Amager Vest","0347","2015","November","34"
"Amager Vest","0347","2015","December","35"
"Amager Vest","0347","2016","Januar","29"
"Amager Vest","0347","2016","Februar","26"
"Amager Vest","0347","2016","Marts","28"
"Amager Vest","0348","2015","Januar","12"
"Amager Vest","0348","2015","Februar","13"
"Amager Vest","0348","2015","Marts","13"
"Amager Vest","0348","2015","April","15"
"Amager Vest","0348","2015","Maj","14"
"Amager Vest","0348","2015","Juni","14"
"Amager Vest","0348","2015","Juli","11"
"Amager Vest","0348","2015","August","10"
"Amager Vest","0348","2015","September","9"
"Amager Vest","0348","2015","Oktober","9"
"Amager Vest","0348","2015","November","9"
"Amager Vest","0348","2015","December","9"
"Amager Vest","0348","2016","Januar","14"
"Amager Vest","0348","2016","Februar","13"
"Amager Vest","0348","2016","Marts","13"
"Amager Vest","0349","2015","Januar","33"
"Amager Vest","0349","2015","Februar","35"
"Amager Vest","0349","2015","Marts","36"
"Amager Vest","0349","2015","April","33"
"Amager Vest","0349","2015","Maj","32"
"Amager Vest","0349","2015","Juni","33"
"Amager Vest","0349","2015","Juli","27"
"Amager Vest","0349","2015","August","22"
"Amager Vest","0349","2015","September","22"
"Amager Vest","0349","2015","Oktober","24"
"Amager Vest","0349","2015","November","27"
"Amager Vest","0349","2015","December","27"
"Amager Vest","0349","2016","Januar","28"
"Amager Vest","0349","2016","Februar","29"
"Amager Vest","0349","2016","Marts","31"
"Amager Vest","0350","2015","Januar","47"
"Amager Vest","0350","2015","Februar","46"
"Amager Vest","0350","2015","Marts","42"
"Amager Vest","0350","2015","April","46"
"Amager Vest","0350","2015","Maj","46"
"Amager Vest","0350","2015","Juni","48"
"Amager Vest","0350","2015","Juli","47"
"Amager Vest","0350","2015","August","44"
"Amager Vest","0350","2015","September","39"
"Amager Vest","0350","2015","Oktober","40"
"Amager Vest","0350","2015","November","41"
"Amager Vest","0350","2015","December","43"
"Amager Vest","0350","2016","Januar","41"
"Amager Vest","0350","2016","Februar","42"
"Amager Vest","0350","2016","Marts","42"
"Amager Vest","0351","2015","Januar","17"
"Amager Vest","0351","2015","Februar","18"
"Amager Vest","0351","2015","Marts","17"
"Amager Vest","0351","2015","April","14"
"Amager Vest","0351","2015","Maj","14"
"Amager Vest","0351","2015","Juni","15"
"Amager Vest","0351","2015","Juli","11"
"Amager Vest","0351","2015","August","12"
"Amager Vest","0351","2015","September","13"
"Amager Vest","0351","2015","Oktober","12"
"Amager Vest","0351","2015","November","11"
"Amager Vest","0351","2015","December","10"
"Amager Vest","0351","2016","Januar","16"
"Amager Vest","0351","2016","Februar","11"
"Amager Vest","0351","2016","Marts","11"
"Amager Vest","0352","2015","Januar","12"
"Amager Vest","0352","2015","Februar","9"
"Amager Vest","0352","2015","Marts","10"
"Amager Vest","0352","2015","April","11"
"Amager Vest","0352","2015","Maj","27"
"Amager Vest","0352","2015","Juni","29"
"Amager Vest","0352","2015","Juli","29"
"Amager Vest","0352","2015","August","31"
"Amager Vest","0352","2015","September","34"
"Amager Vest","0352","2015","Oktober","29"
"Amager Vest","0352","2015","November","29"
"Amager Vest","0352","2015","December","28"
"Amager Vest","0352","2016","Januar","28"
"Amager Vest","0352","2016","Februar","26"
"Amager Vest","0352","2016","Marts","27"
"Amager Vest","0353","2015","Januar","8"
"Amager Vest","0353","2015","Februar","7"
"Amager Vest","0353","2015","Marts","7"
"Amager Vest","0353","2015","April","7"
"Amager Vest","0353","2015","Maj","6"
"Amager Vest","0353","2015","Juni","6"
"Amager Vest","0353","2015","Juli","5"
"Amager Vest","0353","2015","August","7"
"Amager Vest","0353","2015","September","10"
"Amager Vest","0353","2015","Oktober","9"
"Amager Vest","0353","2015","November","11"
"Amager Vest","0353","2015","December","10"
"Amager Vest","0353","2016","Januar","9"
"Amager Vest","0353","2016","Februar","9"
"Amager Vest","0353","2016","Marts","8"
"Amager Vest","0354","2015","Januar","22"
"Amager Vest","0354","2015","Februar","23"
"Amager Vest","0354","2015","Marts","25"
"Amager Vest","0354","2015","April","22"
"Amager Vest","0354","2015","Maj","23"
"Amager Vest","0354","2015","Juni","21"
"Amager Vest","0354","2015","Juli","21"
"Amager Vest","0354","2015","August","19"
"Amager Vest","0354","2015","September","20"
"Amager Vest","0354","2015","Oktober","22"
"Amager Vest","0354","2015","November","23"
"Amager Vest","0354","2015","December","25"
"Amager Vest","0354","2016","Januar","25"
"Amager Vest","0354","2016","Februar","22"
"Amager Vest","0354","2016","Marts","20"
"Amager Vest","0355","2015","Januar","4"
"Amager Vest","0355","2015","Februar","3"
"Amager Vest","0355","2015","Maj","3"
"Amager Vest","0355","2015","Juni","3"
"Amager Vest","0355","2015","September","3"
"Amager Vest","0356","2015","Januar","9"
"Amager Vest","0356","2015","Februar","8"
"Amager Vest","0356","2015","Marts","10"
"Amager Vest","0356","2015","April","11"
"Amager Vest","0356","2015","Maj","13"
"Amager Vest","0356","2015","Juni","11"
"Amager Vest","0356","2015","Juli","9"
"Amager Vest","0356","2015","August","9"
"Amager Vest","0356","2015","September","8"
"Amager Vest","0356","2015","Oktober","8"
"Amager Vest","0356","2015","November","8"
"Amager Vest","0356","2015","December","7"
"Amager Vest","0356","2016","Januar","9"
"Amager Vest","0356","2016","Februar","7"
"Amager Vest","0356","2016","Marts","5"
"Amager Vest","0357","2015","Januar","26"
"Amager Vest","0357","2015","Februar","24"
"Amager Vest","0357","2015","Marts","22"
"Amager Vest","0357","2015","April","24"
"Amager Vest","0357","2015","Maj","25"
"Amager Vest","0357","2015","Juni","27"
"Amager Vest","0357","2015","Juli","25"
"Amager Vest","0357","2015","August","22"
"Amager Vest","0357","2015","September","20"
"Amager Vest","0357","2015","Oktober","25"
"Amager Vest","0357","2015","November","28"
"Amager Vest","0357","2015","December","28"
"Amager Vest","0357","2016","Januar","32"
"Amager Vest","0357","2016","Februar","24"
"Amager Vest","0357","2016","Marts","25"
"Amager Vest","0390","2015","Januar","14"
"Amager Vest","0390","2015","Februar","11"
"Amager Vest","0390","2015","Marts","12"
"Amager Vest","0390","2015","April","12"
"Amager Vest","0390","2015","Maj","11"
"Amager Vest","0390","2015","Juni","14"
"Amager Vest","0390","2015","Juli","14"
"Amager Vest","0390","2015","August","17"
"Amager Vest","0390","2015","September","16"
"Amager Vest","0390","2015","Oktober","17"
"Amager Vest","0390","2015","November","16"
"Amager Vest","0390","2015","December","12"
"Amager Vest","0390","2016","Januar","12"
"Amager Vest","0390","2016","Februar","11"
"Amager Vest","0390","2016","Marts","14"
"Amager Øst","0323","2015","Januar","13"
"Amager Øst","0323","2015","Februar","13"
"Amager Øst","0323","2015","Marts","14"
"Amager Øst","0323","2015","April","14"
"Amager Øst","0323","2015","Maj","11"
"Amager Øst","0323","2015","Juni","11"
"Amager Øst","0323","2015","Juli","11"
"Amager Øst","0323","2015","August","11"
"Amager Øst","0323","2015","September","13"
"Amager Øst","0323","2015","Oktober","12"
"Amager Øst","0323","2015","November","11"
"Amager Øst","0323","2015","December","10"
"Amager Øst","0323","2016","Januar","8"
"Amager Øst","0323","2016","Februar","8"
"Amager Øst","0323","2016","Marts","9"
"Amager Øst","0358","2015","Januar","23"
"Amager Øst","0358","2015","Februar","19"
"Amager Øst","0358","2015","Marts","19"
"Amager Øst","0358","2015","April","18"
"Amager Øst","0358","2015","Maj","21"
"Amager Øst","0358","2015","Juni","24"
"Amager Øst","0358","2015","Juli","24"
"Amager Øst","0358","2015","August","19"
"Amager Øst","0358","2015","September","19"
"Amager Øst","0358","2015","Oktober","21"
"Amager Øst","0358","2015","November","22"
"Amager Øst","0358","2015","December","19"
"Amager Øst","0358","2016","Januar","19"
"Amager Øst","0358","2016","Februar","21"
"Amager Øst","0358","2016","Marts","20"
"Amager Øst","0359","2015","Januar","21"
"Amager Øst","0359","2015","Februar","21"
"Amager Øst","0359","2015","Marts","23"
"Amager Øst","0359","2015","April","24"
"Amager Øst","0359","2015","Maj","21"
"Amager Øst","0359","2015","Juni","22"
"Amager Øst","0359","2015","Juli","20"
"Amager Øst","0359","2015","August","20"
"Amager Øst","0359","2015","September","22"
"Amager Øst","0359","2015","Oktober","23"
"Amager Øst","0359","2015","November","21"
"Amager Øst","0359","2015","December","19"
"Amager Øst","0359","2016","Januar","17"
"Amager Øst","0359","2016","Februar","17"
"Amager Øst","0359","2016","Marts","19"
"Amager Øst","0360","2015","Januar","17"
"Amager Øst","0360","2015","Februar","18"
"Amager Øst","0360","2015","Marts","21"
"Amager Øst","0360","2015","April","20"
"Amager Øst","0360","2015","Maj","22"
"Amager Øst","0360","2015","Juni","20"
"Amager Øst","0360","2015","Juli","16"
"Amager Øst","0360","2015","August","17"
"Amager Øst","0360","2015","September","15"
"Amager Øst","0360","2015","Oktober","13"
"Amager Øst","0360","2015","November","13"
"Amager Øst","0360","2015","December","13"
"Amager Øst","0360","2016","Januar","14"
"Amager Øst","0360","2016","Februar","15"
"Amager Øst","0360","2016","Marts","16"
"Amager Øst","0361","2015","Januar","21"
"Amager Øst","0361","2015","Februar","23"
"Amager Øst","0361","2015","Marts","26"
"Amager Øst","0361","2015","April","23"
"Amager Øst","0361","2015","Maj","27"
"Amager Øst","0361","2015","Juni","25"
"Amager Øst","0361","2015","Juli","30"
"Amager Øst","0361","2015","August","26"
"Amager Øst","0361","2015","September","23"
"Amager Øst","0361","2015","Oktober","26"
"Amager Øst","0361","2015","November","26"
"Amager Øst","0361","2015","December","29"
"Amager Øst","0361","2016","Januar","24"
"Amager Øst","0361","2016","Februar","23"
"Amager Øst","0361","2016","Marts","22"
"Amager Øst","0362","2015","Januar","13"
"Amager Øst","0362","2015","Februar","12"
"Amager Øst","0362","2015","Marts","15"
"Amager Øst","0362","2015","April","18"
"Amager Øst","0362","2015","Maj","15"
"Amager Øst","0362","2015","Juni","15"
"Amager Øst","0362","2015","Juli","14"
"Amager Øst","0362","2015","August","15"
"Amager Øst","0362","2015","September","16"
"Amager Øst","0362","2015","Oktober","13"
"Amager Øst","0362","2015","November","12"
"Amager Øst","0362","2015","December","13"
"Amager Øst","0362","2016","Januar","14"
"Amager Øst","0362","2016","Februar","13"
"Amager Øst","0362","2016","Marts","13"
"Amager Øst","0363","2015","Januar","15"
"Amager Øst","0363","2015","Februar","16"
"Amager Øst","0363","2015","Marts","15"
"Amager Øst","0363","2015","April","15"
"Amager Øst","0363","2015","Maj","16"
"Amager Øst","0363","2015","Juni","15"
"Amager Øst","0363","2015","Juli","15"
"Amager Øst","0363","2015","August","16"
"Amager Øst","0363","2015","September","13"
"Amager Øst","0363","2015","Oktober","15"
"Amager Øst","0363","2015","November","13"
"Amager Øst","0363","2015","December","15"
"Amager Øst","0363","2016","Januar","15"
"Amager Øst","0363","2016","Februar","16"
"Amager Øst","0363","2016","Marts","15"
"Amager Øst","0364","2015","Januar","6"
"Amager Øst","0364","2015","Februar","5"
"Amager Øst","0364","2015","Marts","5"
"Amager Øst","0364","2015","April","7"
"Amager Øst","0364","2015","Maj","9"
"Amager Øst","0364","2015","Juni","6"
"Amager Øst","0364","2015","Juli","6"
"Amager Øst","0364","2015","August","6"
"Amager Øst","0364","2015","September","7"
"Amager Øst","0364","2015","Oktober","10"
"Amager Øst","0364","2015","November","8"
"Amager Øst","0364","2015","December","7"
"Amager Øst","0364","2016","Januar","8"
"Amager Øst","0364","2016","Februar","9"
"Amager Øst","0364","2016","Marts","10"
"Amager Øst","0365","2015","Januar","12"
"Amager Øst","0365","2015","Februar","10"
"Amager Øst","0365","2015","Marts","11"
"Amager Øst","0365","2015","April","17"
"Amager Øst","0365","2015","Maj","16"
"Amager Øst","0365","2015","Juni","15"
"Amager Øst","0365","2015","Juli","14"
"Amager Øst","0365","2015","August","13"
"Amager Øst","0365","2015","September","11"
"Amager Øst","0365","2015","Oktober","8"
"Amager Øst","0365","2015","November","11"
"Amager Øst","0365","2015","December","13"
"Amager Øst","0365","2016","Januar","13"
"Amager Øst","0365","2016","Februar","13"
"Amager Øst","0365","2016","Marts","15"
"Amager Øst","0366","2015","Januar","7"
"Amager Øst","0366","2015","Februar","7"
"Amager Øst","0366","2015","Marts","9"
"Amager Øst","0366","2015","April","10"
"Amager Øst","0366","2015","Maj","10"
"Amager Øst","0366","2015","Juni","10"
"Amager Øst","0366","2015","Juli","9"
"Amager Øst","0366","2015","August","7"
"Amager Øst","0366","2015","September","5"
"Amager Øst","0366","2015","Oktober","8"
"Amager Øst","0366","2015","November","8"
"Amager Øst","0366","2015","December","7"
"Amager Øst","0366","2016","Januar","6"
"Amager Øst","0366","2016","Februar","7"
"Amager Øst","0366","2016","Marts","6"
"Amager Øst","0367","2015","Januar","11"
"Amager Øst","0367","2015","Februar","12"
"Amager Øst","0367","2015","Marts","11"
"Amager Øst","0367","2015","April","12"
"Amager Øst","0367","2015","Maj","14"
"Amager Øst","0367","2015","Juni","13"
"Amager Øst","0367","2015","Juli","10"
"Amager Øst","0367","2015","August","8"
"Amager Øst","0367","2015","September","7"
"Amager Øst","0367","2015","Oktober","7"
"Amager Øst","0367","2015","November","8"
"Amager Øst","0367","2015","December","7"
"Amager Øst","0367","2016","Januar","9"
"Amager Øst","0367","2016","Februar","8"
"Amager Øst","0367","2016","Marts","11"
"Amager Øst","0368","2015","Januar","18"
"Amager Øst","0368","2015","Februar","16"
"Amager Øst","0368","2015","Marts","13"
"Amager Øst","0368","2015","April","16"
"Amager Øst","0368","2015","Maj","19"
"Amager Øst","0368","2015","Juni","19"
"Amager Øst","0368","2015","Juli","13"
"Amager Øst","0368","2015","August","14"
"Amager Øst","0368","2015","September","14"
"Amager Øst","0368","2015","Oktober","14"
"Amager Øst","0368","2015","November","15"
"Amager Øst","0368","2015","December","14"
"Amager Øst","0368","2016","Januar","15"
"Amager Øst","0368","2016","Februar","15"
"Amager Øst","0368","2016","Marts","16"
"Amager Øst","0369","2015","Januar","12"
