"Modtagerovergruppe","Bydele Navn","Roder","År","Måned","Antal borgere"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","Oktober","12"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","November","12"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2015","December","12"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2016","Januar","12"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2016","Februar","12"
"Fleksjob – løntilskud og løn","Amager Vest","0345","2016","Marts","12"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","August","7"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","September","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","November","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2015","December","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2016","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2016","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0346","2016","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","April","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Maj","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","August","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","September","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","November","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2015","December","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2016","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2016","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0347","2016","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Februar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Marts","8"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Juli","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","August","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","September","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","Oktober","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","November","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2015","December","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2016","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0348","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Marts","4"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","April","4"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Maj","4"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Juni","4"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Juli","4"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","August","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","September","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","Oktober","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","November","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2015","December","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2016","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0349","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","April","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Maj","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","August","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","September","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","November","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2015","December","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2016","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0350","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Januar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Februar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Marts","10"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","April","10"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Maj","10"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Juni","9"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Juli","9"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","August","9"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","September","8"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","Oktober","7"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","November","7"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2015","December","7"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2016","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2016","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0351","2016","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Januar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Februar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Marts","11"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","April","10"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Maj","10"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Juni","10"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Juli","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","August","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","September","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","Oktober","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","November","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2015","December","9"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2016","Januar","10"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2016","Februar","10"
"Fleksjob – løntilskud og løn","Amager Vest","0352","2016","Marts","10"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Januar","10"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Februar","10"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Marts","10"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","April","10"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Maj","9"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Juni","8"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Juli","9"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","August","9"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","September","9"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","Oktober","9"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","November","8"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2015","December","8"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2016","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2016","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0353","2016","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Februar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Marts","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","April","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Maj","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Juni","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Juli","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","August","8"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","September","7"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","Oktober","7"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","November","7"
"Fleksjob – løntilskud og løn","Amager Vest","0354","2015","December","6"
