statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	0-9 år	Thailand	62	61	62	68	81	80	85	98
Dansk	Mænd	0-9 år	Trucial Oman	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Turkmenistan	0	0	0	0	2	2	3	2
Dansk	Mænd	0-9 år	Usbekistan	2	2	2	2	3	3	3	5
Dansk	Mænd	0-9 år	Vietnam	1010	984	971	945	920	883	868	839
Dansk	Mænd	0-9 år	Nordyemen	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Yemen	21	23	20	17	16	15	13	14
Dansk	Mænd	0-9 år	Asien uoplyst	1	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Australien	5	5	8	12	11	11	13	11
Dansk	Mænd	0-9 år	Cookøerne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Fiji	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Franske besiddelser i Stillehavet	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Kiribati	0	1	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Marshalløerne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	New Zealand	1	1	1	1	1	0	0	0
Dansk	Mænd	0-9 år	Papua Ny Guinea	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Salomonøerne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Samoa	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Tonga	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Tuvalu	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Vanuatu	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Østtimor	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Øer i Stillehavet	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Statsløs	21	23	59	46	58	61	53	53
