FID,id,wkb_geometry,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,lokaludvalg,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,kommentar,har_sensor,puma_geoobjektid
affaldskurve_puma.4616,4616,MULTIPOINT ((12.561828238752314 55.70605352838143)),IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Jagtvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,true,77d5c010-0b3d-4929-ba3a-d3434ed72e5d
affaldskurve_puma.4617,4617,MULTIPOINT ((12.50726410500156 55.65022408581988)),IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Gade med grønt,Gammel Køge Landevej,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,522fbcd2-db9f-41ad-be94-f827597dc550
affaldskurve_puma.4618,4618,MULTIPOINT ((12.61591784778137 55.66655283024642)),IDrift,Bydækkende drift,,,,Amager Øst,Gader og pladser,Øvrig plads,Bremensgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,015fef99-964e-4610-88a6-d0419f470099
affaldskurve_puma.4619,4619,MULTIPOINT ((12.576676650003602 55.678701362186864)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,3ddca226-5983-4912-991c-14577209ec70
affaldskurve_puma.4620,4620,MULTIPOINT ((12.48322921618678 55.67256588807915)),IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Gade med grønt,Roskildevej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,true,f0b4183d-1bc3-45fb-bde3-b02c1acfd61f
affaldskurve_puma.4621,4621,MULTIPOINT ((12.540276445307827 55.66826293159049)),IDrift,Bydækkende drift,,,,Østerbro,Småarealer,Rekreativt småareal,Vesterfælledvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,53893306-df36-4e89-9c75-51af3c8140cb
affaldskurve_puma.4622,4622,MULTIPOINT ((12.529798630058323 55.72259490918312)),IDrift,Bydækkende drift,,,,Bispebjerg,Gader og pladser,Øvrig gade,Gade i Bispebjerg,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,ca8c0ef6-8a5c-4351-83df-75f66430c72b
affaldskurve_puma.4623,4623,MULTIPOINT ((12.571976224293845 55.678177391841224)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig plads,Nytorv,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,,true,7ea4793d-987f-40d1-993f-1a8da8dde61a
affaldskurve_puma.4624,4624,MULTIPOINT ((12.576194434698715 55.672745327224185)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,5c59660c-6dcc-4ece-9604-d278b9b99fdf
affaldskurve_puma.4625,4625,MULTIPOINT ((12.55164347790293 55.64975629347813)),IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,441bde1c-da3b-47dd-bcc4-ca382770e714
affaldskurve_puma.4627,4627,MULTIPOINT ((12.557490787778661 55.68649776892996)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Blågårds plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,,true,2af8295f-4eb5-4eeb-a886-b83d5fba5da7
affaldskurve_puma.4628,4628,MULTIPOINT ((12.514575355531944 55.66407044669541)),IDrift,Bydækkende drift,,,,,,,,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,19c3719e-fedd-44d5-a92d-82c7f42177d9
affaldskurve_puma.4630,4630,MULTIPOINT ((12.55376945885268 55.67218316734377)),IDrift,Bydækkende drift,,,,Vesterbro,Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.4 Netkurv/Oval,60ecbeb0-a1f5-4cbe-a6fd-f124f62b8c87,,false,2b8f0f71-3e2a-4b53-bb84-21d3adcba8c1
affaldskurve_puma.4631,4631,MULTIPOINT ((12.58815340962066 55.67067599748985)),IDrift,Bydækkende drift,,,,Christianshavn,Småarealer,Rekreativt småareal,Ovengade Oven Vandet,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,eb1605ee-9728-4a0f-a78c-e7f1428d99c1
affaldskurve_puma.4632,4632,MULTIPOINT ((12.48541294924878 55.70974136035557)),IDrift,Bydækkende drift,,,,Brønshøj-Husum ,Gader og pladser,Gade med grønt,Gade i Brønshøj-Husum,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,2e1d79c1-f56b-4a19-bf40-a8ddd7ce7960
affaldskurve_puma.4633,4633,MULTIPOINT ((12.571739550418108 55.679135082604425)),IDrift,Bydækkende drift,,,,Indre By,Småarealer,Rekreativt småareal,Bispetorvet,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,b367e6c7-f556-4e13-a18b-6a0f7c067270
affaldskurve_puma.4634,4634,MULTIPOINT ((12.486948527201605 55.70720777867972)),IDrift,Bydækkende drift,,,,Brønshøj-Husum ,Gader og pladser,Gade med grønt,Frederikssundsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,3865c3b5-13c0-4e38-b924-7e71cd643bf2
affaldskurve_puma.4635,4635,MULTIPOINT ((12.537058907265042 55.700914114505636)),IDrift,Bydækkende drift,,,,Bispebjerg,Gader og pladser,Øvrig gade,Gade i Bispebjerg,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,eefce78b-9f57-478c-b088-dac29756e3f4
affaldskurve_puma.4636,4636,MULTIPOINT ((12.527150284444234 55.65211155331166)),IDrift,Bydækkende drift,,,,Valby,Småarealer,Øvrigt småareal,Sjælør Station,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,0b4ee6ac-edb0-48f9-9e25-f4e41728f888
affaldskurve_puma.4637,4637,MULTIPOINT ((12.527150284444234 55.65211155331166)),IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Gade med grønt,Gade i Valby,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,0b4ee6ac-edb0-48f9-9e25-f4e41728f888
