unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Owner-occupied	Polling area - 5. Nordvest	63809.0	63550.0	60980.0	61694.0	59749.0	64865.0	60590.0	61524.0	59890.0	59633.0	59612.0	60880.0	59645.0	60695.0	57327.0	62861.0	59584.0	59431.0	53835.0	48934.0	47451.0	46412.0	43169.0	44720.0	45324.0	49042.0	51583.0	67020.0	56261.0	56426.0	56730.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 6. Bispebjerg	54626.0	53548.0	53901.0	53859.0	52854.0	53693.0	54151.0	56670.0	60664.0	61239.0	62777.0	63996.0	62673.0	62795.0	63139.0	80611.0	86055.0	81852.0	85010.0	78624.0	72756.0	71201.0	69152.0	67316.0	67184.0	71770.0	73681.0	78773.0	79497.0	84549.0	83288.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 6. Vest	31769.0	31575.0	31138.0	31853.0	32514.0	35008.0	33348.0	33205.0	34132.0	33195.0	32345.0	32078.0	35230.0	35647.0	34708.0	34286.0	34146.0	34745.0	34010.0	35712.0	35236.0	35026.0	35446.0	35178.0	35096.0	33677.0	34816.0	35579.0	38452.0	39364.0	38735.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 6. Nord	95607.0	94829.0	92632.0	96350.0	96708.0	97660.0	97476.0	100028.0	99730.0	100672.0	100706.0	100578.0	102209.0	102822.0	103171.0	103446.0	106357.0	106753.0	110425.0	103682.0	101864.0	101090.0	100416.0	101919.0	102806.0	102950.0	104920.0	105423.0	105320.0	104244.0	105897.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 6. Øst	30155.0	31417.0	30450.0	31240.0	31563.0	31775.0	30892.0	31565.0	31429.0	33438.0	31190.0	31871.0	32569.0	32667.0	33004.0	32843.0	39745.0	39177.0	39370.0	40406.0	39618.0	40391.0	39369.0	39706.0	40528.0	40221.0	40446.0	40849.0	40399.0	42036.0	44908.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 6. Syd	31391.0	31989.0	32027.0	30867.0	31249.0	33885.0	32902.0	33710.0	34105.0	33689.0	34674.0	35267.0	34473.0	34382.0	34335.0	34319.0	34569.0	40627.0	33468.0	44181.0	29892.0	33154.0	29425.0	27934.0	28918.0	27373.0	29365.0	33775.0	33736.0	32540.0	33817.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Brønshøj	110945.0	111945.0	109902.0	111771.0	113207.0	112564.0	113346.0	113103.0	114889.0	116158.0	116770.0	116586.0	116789.0	118642.0	118151.0	118901.0	121866.0	121591.0	121992.0	120093.0	119700.0	118585.0	118558.0	119184.0	119448.0	120920.0	120761.0	120179.0	122304.0	123249.0	124518.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Nord	0.0	0.0	0.0	0.0	0.0	0.0	3388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	103.0	103.0	272.0	272.0	272.0	272.0	272.0	272.0	2255.0	483.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Syd	94009.0	93183.0	91511.0	94166.0	95071.0	96384.0	98628.0	99335.0	102140.0	102823.0	104277.0	105776.0	105153.0	104412.0	105843.0	105177.0	106133.0	106307.0	105627.0	102672.0	101902.0	101504.0	100133.0	104512.0	106741.0	106585.0	107900.0	110729.0	113613.0	116813.0	113878.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Øst	142834.0	144911.0	144945.0	145020.0	146339.0	147112.0	149665.0	152109.0	152584.0	174752.0	176390.0	176730.0	176843.0	178154.0	178818.0	181882.0	181797.0	181266.0	182503.0	181002.0	178200.0	179207.0	176580.0	176827.0	178947.0	182235.0	182626.0	185936.0	190716.0	189279.0	190116.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 7. Vest	114541.0	114403.0	111237.0	115239.0	113954.0	115823.0	116373.0	116836.0	119880.0	100356.0	100839.0	102197.0	103562.0	104254.0	104354.0	105602.0	109195.0	108846.0	109526.0	116582.0	115225.0	114219.0	114018.0	113538.0	117470.0	118375.0	118633.0	121387.0	122654.0	121879.0	124680.0
